,Coordinates,"2,020",2015_cat1,2015_cat2,2015_cat3,2015_cat1%,2015_cat2%,2015_cat3%
Barangka,"14.6327, 121.0821","16,639","4,664","12,860",980,25.21,69.5,5.3
Calumpang,"14.6238, 121.0928","15,602","3,741","10,303",813,25.18,69.35,5.47
Concepcion Dos,"14.6386, 121.1117","24,023","5,351","17,851","2,435",20.87,69.63,9.5
Concepcion Uno,"14.6497, 121.1020","44,683","10,762","29,413","2,389",25.28,69.1,5.61
Fortune,"14.6632, 121.1274","38,624","11,506","23,419","1,217",31.84,64.8,3.37
Industrial Valley,"14.6271, 121.0800","16,461","4,445","10,902",648,27.79,68.16,4.05
Jesus de La Pena,"14.6367, 121.0910","10,201","2,480","7,140",555,24.37,70.17,5.45
Malanday,"14.6500, 121.0941","53,886","16,420","36,867","2,155",29.62,66.5,3.89
Marikina Heights,"14.6501, 121.1170","42,761","10,102","26,640","2,053",26.04,68.67,5.29
Nangka,"14.6726, 121.1092","43,368","12,796","29,126","1,906",29.2,66.46,4.35
Parang,"14.6590, 121.1123","40,240","11,043","28,338","2,280",26.51,68.02,5.47
San Roque,"14.6281, 121.0984","16,949","4,215","12,601","1,129",23.49,70.22,6.29
Santa Elena,"14.6328, 121.0977","7,403","1,508","4,961",459,21.77,71.61,6.63
Santo Nino,"14.6367, 121.0973","28,849","8,111","21,026","1,622",26.37,68.36,5.27
Tanong,"14.6344, 121.0867","8,902","2,267","5,582",421,27.41,67.5,5.09
Tumana,"14.6562, 121.0973","47,468","13,765","28,399","1,075",31.83,65.68,2.49
