,District,Coordinates,"2,020",2015_cat1,2015_cat2,2015_cat3,2015_cat1%,2015_cat2%,2015_cat3%
MBarangay 495,Sampaloc,"14.6231, 120.9912","1,906",366,"1,462",80,19.18,76.62,4.19
MBarangay 496,Sampaloc,"14.6215, 120.9939","1,177",255,698,36,25.78,70.58,3.64
MBarangay 497,Sampaloc,"14.6220, 120.9899","1,489",285,937,67,22.11,72.69,5.2
MBarangay 498,Sampaloc,"14.6207, 120.9929","1,033",298,921,72,23.08,71.34,5.58
MBarangay 499,Sampaloc,"14.6191, 120.9911","1,498",417,"1,062",72,26.89,68.47,4.64
MBarangay 5,Tondo,"14.6081, 120.9664","1,288",309,842,48,25.77,70.23,4
MBarangay 50,Tondo,"14.6135, 120.9723","4,217","1,109","2,593",167,28.66,67.02,4.32
MBarangay 500,Sampaloc,"14.6206, 120.9906","2,562",661,"1,899",157,24.33,69.89,5.78
MBarangay 501,Sampaloc,"14.6199, 120.9920",845,360,980,62,25.68,69.9,4.42
MBarangay 502,Sampaloc,"14.6146, 120.9971",815,227,686,44,23.72,71.68,4.6
MBarangay 503,Sampaloc,"14.6139, 120.9963","1,183",235,"1,111",92,16.34,77.26,6.4
MBarangay 504,Sampaloc,"14.6156, 120.9960","1,312",234,"1,003",62,18.01,77.21,4.77
MBarangay 505,Sampaloc,"14.6149, 120.9951","1,200",301,"1,010",69,21.81,73.19,5
MBarangay 506,Sampaloc,"14.6168, 120.9951",668,101,469,40,16.56,76.89,6.56
MBarangay 507,Sampaloc,"14.6160, 120.9942","1,532",339,"1,039",70,23.41,71.75,4.83
MBarangay 508,Sampaloc,"14.6178, 120.9940","1,006",238,908,71,19.56,74.61,5.83
MBarangay 509,Sampaloc,"14.6170, 120.9932","1,260",362,"1,159",78,22.64,72.48,4.88
MBarangay 51,Tondo,"14.6108, 120.9720","2,580",879,"2,001",139,29.12,66.28,4.6
MBarangay 510,Sampaloc,"14.6189, 120.9930","1,134",196,634,46,22.37,72.37,5.25
MBarangay 511,Sampaloc,"14.6181, 120.9921","1,338",265,986,72,20.03,74.53,5.44
MBarangay 512,Sampaloc,"14.6173, 120.9996","2,473",450,"1,634",113,20.48,74.37,5.14
MBarangay 513,Sampaloc,"14.6170, 120.9979","2,033",437,"1,257",84,24.58,70.7,4.72
MBarangay 514,Sampaloc,"14.6188, 120.9951","2,283",502,"1,775",117,20.97,74.14,4.89
MBarangay 515,Sampaloc,"14.6193, 120.9970","2,166",550,"1,768",171,22.1,71.03,6.87
MBarangay 516,Sampaloc,"14.6209, 120.9952","1,087",222,623,50,24.8,69.61,5.59
MBarangay 517,Sampaloc,"14.6154, 120.9979","1,029",163,656,64,18.46,74.29,7.25
MBarangay 518,Sampaloc,"14.6198, 120.9941","1,908",400,"1,434",131,20.36,72.98,6.67
MBarangay 519,Sampaloc,"14.6165, 120.9969","1,311",290,"1,037",81,20.6,73.65,5.75
MBarangay 52,Tondo,"14.6139, 120.9714","2,732",871,"1,871",134,30.29,65.06,4.66
MBarangay 520,Sampaloc,"14.6178, 120.9962",631,134,444,36,21.82,72.31,5.86
MBarangay 521,Sampaloc,"14.6120, 120.9981","2,244",643,"2,086",143,22.39,72.63,4.98
MBarangay 522,Sampaloc,"14.6127, 120.9984","1,091",163,607,69,19.43,72.35,8.22
MBarangay 523,Sampaloc,"14.6131, 120.9992","1,115",305,961,101,22.31,70.3,7.39
MBarangay 524,Sampaloc,"14.6136, 120.9991",865,182,695,39,19.87,75.87,4.26
MBarangay 525,Sampaloc,"14.6135, 121.0005","1,784",354,"1,331",98,19.85,74.65,5.5
MBarangay 526,Sampaloc,"14.6144, 120.9998",790,194,700,36,20.86,75.27,3.87
MBarangay 527,Sampaloc,"14.6140, 121.0025","2,134",674,"1,252",91,33.42,62.07,4.51
MBarangay 528,Sampaloc,"14.6153, 121.0002","1,433",316,866,56,25.53,69.95,4.52
MBarangay 529,Sampaloc,"14.6142, 121.0016",935,265,712,49,25.83,69.4,4.78
MBarangay 53,Tondo,"14.6152, 120.9727","2,916",789,"1,683",110,30.56,65.18,4.26
MBarangay 530,Sampaloc,"14.6160, 121.0009",483,148,566,46,19.47,74.47,6.05
MBarangay 531,Sampaloc,"14.6155, 121.0024",956,392,981,58,27.39,68.55,4.05
MBarangay 532,Sampaloc,"14.6129, 121.0015",987,220,672,51,23.33,71.26,5.41
MBarangay 533,Sampaloc,"14.6131, 121.0026",913,291,634,50,29.85,65.03,5.13
MBarangay 534,Sampaloc,"14.6121, 121.0032","1,096",210,712,62,21.34,72.36,6.3
MBarangay 535,Sampaloc,"14.6117, 121.0021","1,035",262,719,66,25.02,68.67,6.3
MBarangay 536,Sampaloc,"14.6128, 121.0041",944,295,775,76,25.74,67.63,6.63
MBarangay 537,Sampaloc,"14.6140, 121.0036","1,085",364,731,53,31.71,63.68,4.62
MBarangay 538,Sampaloc,"14.6137, 121.0046",821,282,689,49,27.65,67.55,4.8
MBarangay 539,Sampaloc,"14.6110, 121.0036","1,846",401,"1,076",99,25.44,68.27,6.28
MBarangay 54,Tondo,"14.6166, 120.9731","1,648",442,"1,231",118,24.68,68.73,6.59
MBarangay 540,Sampaloc,"14.6129, 121.0055","1,951",497,"1,324",85,26.08,69.46,4.46
MBarangay 541,Sampaloc,"14.6124, 121.0063",485,182,567,56,22.61,70.43,6.96
MBarangay 542,Sampaloc,"14.6094, 121.0003",802,264,594,42,29.33,66,4.67
MBarangay 543,Sampaloc,"14.6105, 120.9993",822,111,441,9,19.79,78.61,1.6
MBarangay 544,Sampaloc,"14.6086, 121.0005",164,31,53,6,34.44,58.89,6.67
MBarangay 545,Sampaloc,"14.6088, 121.0022",883,224,504,46,28.94,65.12,5.94
MBarangay 546,Sampaloc,"14.6079, 121.0029",892,257,658,62,26.31,67.35,6.35
MBarangay 547,Sampaloc,"14.6112, 121.0010","1,059",341,943,37,25.81,71.39,2.8
MBarangay 548,Sampaloc,"14.6111, 120.9997",749,199,549,31,25.55,70.47,3.98
MBarangay 549,Sampaloc,"14.6098, 121.0036",867,220,596,53,25.32,68.58,6.1
MBarangay 55,Tondo,"14.6168, 120.9716","2,492",875,"1,784",138,31.28,63.78,4.93
MBarangay 550,Sampaloc,"14.6084, 121.0013",992,197,445,18,29.85,67.42,2.73
MBarangay 551,Sampaloc,"14.6073, 121.0024",959,192,677,62,20.62,72.72,6.66
MBarangay 552,Sampaloc,"14.6089, 121.0033",937,200,602,62,23.15,69.68,7.18
MBarangay 553,Sampaloc,"14.6093, 121.0017","1,430",414,758,32,34.39,62.96,2.66
MBarangay 554,Sampaloc,"14.6101, 121.0011","1,551",331,943,83,24.39,69.49,6.12
MBarangay 555,Sampaloc,"14.6114, 121.0080","1,138",335,918,90,24.94,68.35,6.7
MBarangay 556,Sampaloc,"14.6110, 121.0077",822,204,459,39,29.06,65.38,5.56
MBarangay 557,Sampaloc,"14.6104, 121.0079","1,262",375,846,49,29.53,66.61,3.86
MBarangay 558,Sampaloc,"14.6110, 121.0066","1,260",325,847,63,26.32,68.58,5.1
MBarangay 559,Sampaloc,"14.6104, 121.0068","1,285",335,780,73,28.2,65.66,6.14
