,District,Coordinates,"2,020",2015_cat1,2015_cat2,2015_cat3,2015_cat1%,2015_cat2%,2015_cat3%
MBarangay 677,Paco,"14.5832, 120.9941","1,591",746,"1,886",125,27.06,68.41,4.53
MBarangay 678,Paco,"14.5831, 120.9958","1,294",134,310,12,29.39,67.98,2.63
MBarangay 679,Paco,"14.5799, 120.9943",931,286,639,24,30.14,67.33,2.53
MBarangay 68,Tondo,"14.6130, 120.9651","1,115",310,755,48,27.85,67.83,4.31
MBarangay 680,Paco,"14.5810, 120.9962",968,241,823,59,21.46,73.29,5.25
MBarangay 681,Paco,"14.5794, 120.9963","1,094",299,"1,090",110,19.95,72.72,7.34
MBarangay 682,Paco,"14.5807, 120.9985",822,302,848,54,25.08,70.43,4.49
MBarangay 683,Paco,"14.5774, 120.9957",784,196,665,57,21.35,72.44,6.21
MBarangay 684,Paco,"14.5774, 120.9947","2,730",777,"1,825",145,28.29,66.44,5.28
MBarangay 685,Paco,"14.5774, 120.9967","1,044",241,775,82,21.95,70.58,7.47
MBarangay 686,Paco,"14.5764, 120.9946","3,250",947,"1,918",130,31.62,64.04,4.34
MBarangay 687,Paco,"14.5767, 120.9932","1,434",237,950,56,19.07,76.43,4.51
MBarangay 688,Malate,"14.5747, 120.9936","1,212",330,810,97,26.68,65.48,7.84
MBarangay 689,Malate,"14.5737, 120.9928",733,183,493,57,24.97,67.26,7.78
MBarangay 69,Tondo,"14.6107, 120.9648","1,968",619,"1,460",120,28.15,66.39,5.46
MBarangay 690,Malate,"14.5740, 120.9917",496,258,599,30,29.09,67.53,3.38
MBarangay 691,Malate,"14.5727, 120.9925",409,83,297,36,19.95,71.39,8.65
MBarangay 692,Malate,"14.5720, 120.9915","1,329",234,652,56,24.84,69.21,5.94
MBarangay 693,Malate,"14.5734, 120.9907",511,75,496,35,12.38,81.85,5.78
MBarangay 694,Malate,"14.5753, 120.9901","1,281",184,759,47,18.59,76.67,4.75
MBarangay 695,Malate,"14.5763, 120.9918",654,178,552,26,23.54,73.02,3.44
MBarangay 696,Malate,"14.5738, 120.9887","2,420",182,896,26,16.49,81.16,2.36
MBarangay 697,Malate,"14.5731, 120.9872","1,967",147,497,35,21.65,73.2,5.15
MBarangay 698,Malate,"14.5723, 120.9858","1,736",351,"1,038",11,25.07,74.14,0.79
MBarangay 699,Malate,"14.5714, 120.9834","3,193",231,791,42,21.71,74.34,3.95
MBarangay 7,Tondo,"14.6064, 120.9690","1,560",333,650,27,32.97,64.36,2.67
MBarangay 70,Tondo,"14.6115, 120.9650","2,344",621,"1,417",86,29.24,66.71,4.05
MBarangay 700,Malate,"14.5690, 120.9852",138,26,126,10,16.05,77.78,6.17
MBarangay 701,Malate,"14.5666, 120.9859","2,695",332,"1,229",47,20.65,76.43,2.92
MBarangay 702,Malate,"14.5700, 120.9876","3,342","1,031","2,328",86,29.93,67.58,2.5
MBarangay 703,Malate,"14.5708, 120.9899",114,10,392,5,2.46,96.31,1.23
MBarangay 704,Malate,"14.5678, 120.9880","5,299","1,884","3,756",208,32.22,64.23,3.56
MBarangay 705,Malate,"14.5684, 120.9888","2,683",769,"1,586",95,31.39,64.73,3.88
MBarangay 706,Malate,"14.5690, 120.9898",296,113,344,20,23.69,72.12,4.19
MBarangay 707,Malate,"14.5681, 120.9903","1,052",317,609,38,32.88,63.17,3.95
MBarangay 708,Malate,"14.5664, 120.9922",753,243,462,20,33.52,63.72,2.76
MBarangay 709,Malate,"14.5678, 120.9923","4,154",201,501,39,27.13,67.61,5.26
MBarangay 71,Tondo,"14.6114, 120.9661","3,417",694,"1,479",125,30.2,64.36,5.44
MBarangay 710,Malate,"14.5674, 120.9901",559,166,466,31,25.04,70.29,4.68
MBarangay 711,Malate,"14.5667, 120.9905","1,294",368,817,69,29.35,65.15,5.5
MBarangay 712,Malate,"14.5676, 120.9912","1,068",436,"1,118",80,26.68,68.42,4.9
MBarangay 713,Malate,"14.5662, 120.9914","1,964",493,896,53,34.19,62.14,3.68
MBarangay 714,Malate,"14.5691, 120.9910","1,371",262,704,40,26.04,69.98,3.98
MBarangay 715,Malate,"14.5659, 120.9907",180,83,236,14,24.92,70.87,4.2
MBarangay 716,Malate,"14.5657, 120.9913",920,289,527,56,33.14,60.44,6.42
MBarangay 717,Malate,"14.5657, 120.9919",479,281,451,27,37.02,59.42,3.56
MBarangay 718,Malate,"14.5652, 120.9916","1,155",368,766,55,30.95,64.42,4.63
MBarangay 719,Malate,"14.5622, 120.9903","6,690",804,"2,565",92,23.23,74.11,2.66
MBarangay 72,Tondo,"14.6111, 120.9633","3,233","1,109","2,119",114,33.18,63.41,3.41
MBarangay 720,Malate,"14.5640, 120.9899","1,238",138,446,22,22.77,73.6,3.63
MBarangay 721,Malate,"14.5651, 120.9885",577,197,488,31,27.51,68.16,4.33
MBarangay 722,Malate,"14.5722, 120.9939",641,115,658,33,14.27,81.64,4.09
MBarangay 723,Malate,"14.5712, 120.9931",540,81,370,29,16.88,77.08,6.04
MBarangay 724,Malate,"14.5697, 120.9941","2,338",525,"1,388",99,26.09,68.99,4.92
MBarangay 725,Malate,"14.5683, 120.9930","1,409",62,475,10,11.33,86.84,1.83
MBarangay 726,Malate,"14.5673, 120.9952",595,111,409,40,19.82,73.04,7.14
MBarangay 727,Malate,"14.5659, 120.9955","1,790",205,514,33,27.26,68.35,4.39
MBarangay 728,Malate,"14.5641, 120.9962",840,148,538,53,20.03,72.8,7.17
MBarangay 729,Malate,"14.5621, 120.9960",871,74,395,11,15.42,82.29,2.29
MBarangay 73,Tondo,"14.6106, 120.9638","2,478",574,"1,103",68,32.89,63.21,3.9
MBarangay 730,Malate,"14.5627, 120.9975","1,539",278,"1,073",84,19.37,74.77,5.85
MBarangay 731,Malate,"14.5705, 120.9966","2,916",795,"2,085",138,26.34,69.09,4.57
MBarangay 732,Malate,"14.5700, 120.9975","1,974","1,041","2,382",160,29.05,66.48,4.47
MBarangay 733,Malate,"14.5672, 120.9970","4,303","1,213","3,068",215,26.98,68.24,4.78
MBarangay 734,Malate,"14.5764, 120.9970",902,283,555,41,32.2,63.14,4.66
MBarangay 735,Malate,"14.5750, 120.9975","2,063",980,"1,841",116,33.37,62.68,3.95
MBarangay 736,Malate,"14.5750, 120.9961","3,806",813,"1,767",133,29.97,65.13,4.9
MBarangay 737,Malate,"14.5740, 120.9980","2,209",732,"1,539",85,31.07,65.32,3.61
MBarangay 738,Malate,"14.5731, 120.9982","3,047","1,211","2,664",177,29.89,65.75,4.37
MBarangay 739,Malate,"14.5716, 120.9980","4,530",890,"2,140",134,28.13,67.64,4.24
MBarangay 74,Tondo,"14.6135, 120.9664","1,039",246,597,44,27.73,67.31,4.96
MBarangay 740,Malate,"14.5731, 120.9964","4,138","1,090","2,649",189,27.75,67.44,4.81
MBarangay 741,Malate,"14.5743, 120.9964","1,207",746,"1,441",101,32.6,62.98,4.41
MBarangay 742,Malate,"14.5739, 120.9955",807,178,376,29,30.53,64.49,4.97
MBarangay 743,Malate,"14.5728, 120.9950","1,607",424,"1,007",84,27.99,66.47,5.54
MBarangay 744,Malate,"14.5700, 120.9958","1,223",337,894,66,25.98,68.93,5.09
MBarangay 745,Santa Ana,"14.5677, 120.9985","2,015",492,"1,120",84,29.01,66.04,4.95
MBarangay 746,Santa Ana,"14.5667, 120.9986","1,663",533,"1,448",85,25.8,70.09,4.11
MBarangay 747,Santa Ana,"14.5699, 121.0006",369,92,308,29,21.45,71.79,6.76
MBarangay 748,Santa Ana,"14.5688, 121.0004",812,131,543,57,17.92,74.28,7.8
MBarangay 749,Santa Ana,"14.5684, 121.0014",616,125,408,47,21.55,70.34,8.1
MBarangay 75,Tondo,"14.6133, 120.9673","1,350",448,"1,037",79,28.64,66.3,5.05
MBarangay 750,Santa Ana,"14.5712, 120.9997","1,107",238,794,43,22.14,73.86,4
MBarangay 751,Santa Ana,"14.5701, 120.9990","1,541",335,"1,117",107,21.49,71.65,6.86
MBarangay 752,Santa Ana,"14.5679, 120.9999",763,125,425,45,21.01,71.43,7.56
MBarangay 753,Santa Ana,"14.5694, 120.9983","2,380",688,"1,445",89,30.96,65.03,4.01
MBarangay 754,Santa Ana,"14.5686, 120.9981","2,584",768,"1,590",76,31.55,65.32,3.12
MBarangay 755,Santa Ana,"14.5630, 120.9991","1,372",148,587,45,18.97,75.26,5.77
MBarangay 756,Santa Ana,"14.5639, 121.0001",721,126,416,38,21.72,71.72,6.55
MBarangay 757,Santa Ana,"14.5648, 121.0010",477,46,314,29,11.83,80.72,7.46
MBarangay 758,Santa Ana,"14.5654, 121.0019",399,64,268,25,17.93,75.07,7
MBarangay 759,Santa Ana,"14.5668, 121.0018",787,127,562,61,16.93,74.93,8.13
MBarangay 76,Tondo,"14.6149, 120.9676","1,844",494,"1,122",83,29.08,66.04,4.89
MBarangay 760,Santa Ana,"14.5662, 121.0006","1,041",188,737,65,18.99,74.44,6.57
MBarangay 761,Santa Ana,"14.5656, 120.9993","1,062",213,"1,004",90,16.3,76.82,6.89
MBarangay 762,Santa Ana,"14.5650, 120.9981",365,50,342,24,12.02,82.21,5.77
MBarangay 763,Santa Ana,"14.5688, 121.0047","1,779",404,"1,036",95,26.32,67.49,6.19
MBarangay 764,Santa Ana,"14.5673, 121.0034","2,022",402,"1,228",87,23.41,71.52,5.07
MBarangay 765,Santa Ana,"14.5698, 121.0057","2,075",460,"1,191",93,26.38,68.29,5.33
MBarangay 766,Santa Ana,"14.5706, 121.0065","3,101",978,"1,973",106,31.99,64.54,3.47
MBarangay 767,Santa Ana,"14.5714, 121.0049","5,429","1,464","2,887",172,32.37,63.83,3.8
MBarangay 768,Santa Ana,"14.5701, 121.0036","1,147",276,740,62,25.6,68.65,5.75
MBarangay 769,Santa Ana,"14.5690, 121.0025","1,997",538,"1,233",56,29.45,67.49,3.07
MBarangay 77,Tondo,"14.6157, 120.9678","1,372",443,919,67,31,64.31,4.69
MBarangay 770,Santa Ana,"14.5731, 121.0086","9,651","2,492","4,870",227,32.84,64.17,2.99
MBarangay 771,Santa Ana,"14.5738, 121.0049","1,813",560,"1,542",122,25.18,69.33,5.49
MBarangay 772,Santa Ana,"14.5739, 121.0063","2,426",729,"1,826",116,27.29,68.36,4.34
MBarangay 773,Santa Ana,"14.5744, 121.0068","2,748",934,"2,022",152,30.05,65.06,4.89
MBarangay 774,Santa Ana,"14.5755, 121.0065","2,878","1,034","2,258",135,30.17,65.89,3.94
MBarangay 775,Santa Ana,"14.5719, 121.0067","12,084","3,490","6,821",349,32.74,63.99,3.27
MBarangay 776,Santa Ana,"14.5751, 121.0094","4,592","1,432","3,029",179,30.86,65.28,3.86
MBarangay 777,Santa Ana,"14.5766, 121.0074","3,011","1,050","2,128",102,32.01,64.88,3.11
MBarangay 778,Santa Ana,"14.5737, 121.0103","1,848",746,"1,527",87,31.61,64.7,3.69
MBarangay 779,Santa Ana,"14.5748, 121.0083","4,444","1,646","3,431",179,31.32,65.28,3.41
MBarangay 78,Tondo,"14.6143, 120.9688","1,221",307,706,68,28.4,65.31,6.29
MBarangay 780,Santa Ana,"14.5769, 121.0097","2,316",819,"1,860",112,29.34,66.64,4.01
MBarangay 781,Santa Ana,"14.5778, 121.0088","4,275","1,074","2,172",137,31.75,64.2,4.05
MBarangay 782,Santa Ana,"14.5760, 121.0103","1,483",324,987,76,23.36,71.16,5.48
MBarangay 783,Santa Ana,"14.5751, 121.0112","2,145",575,"1,342",74,28.88,67.4,3.72
MBarangay 784,Santa Ana,"14.5765, 121.0027","3,386",769,"1,796",114,28.7,67.04,4.26
MBarangay 785,Santa Ana,"14.5751, 121.0043",932,222,665,49,23.72,71.05,5.24
MBarangay 786,Santa Ana,"14.5753, 121.0030","1,439",527,"1,330",100,26.93,67.96,5.11
MBarangay 787,Santa Ana,"14.5770, 121.0038","3,622",495,"1,418",82,24.81,71.08,4.11
MBarangay 788,Santa Ana,"14.5781, 121.0033",969,255,702,67,24.9,68.55,6.54
MBarangay 789,Santa Ana,"14.5784, 121.0043","1,620",467,"1,125",77,27.98,67.41,4.61
MBarangay 79,Tondo,"14.6160, 120.9653","1,520",500,974,69,32.4,63.12,4.47
MBarangay 790,Santa Ana,"14.5773, 121.0053","1,741",826,"2,042",147,27.4,67.73,4.88
MBarangay 791,Santa Ana,"14.5778, 121.0064","2,029",461,"1,228",105,25.7,68.45,5.85
MBarangay 792,Santa Ana,"14.5787, 121.0065","2,559",638,"1,682",100,26.36,69.5,4.13
MBarangay 793,Santa Ana,"14.5794, 121.0070","1,722",424,"1,020",50,28.38,68.27,3.35
MBarangay 794,Santa Ana,"14.5754, 121.0018",710,152,483,34,22.72,72.2,5.08
MBarangay 795,Santa Ana,"14.5755, 121.0011","1,157",187,347,12,34.25,63.55,2.2
MBarangay 796,Santa Ana,"14.5753, 121.0005",631,255,545,41,30.32,64.8,4.88
MBarangay 797,Santa Ana,"14.5747, 121.0009",244,216,455,39,30.42,64.08,5.49
MBarangay 798,Santa Ana,"14.5738, 121.0004","1,562",472,"1,045",68,29.78,65.93,4.29
MBarangay 799,Santa Ana,"14.5741, 120.9995",544,126,331,38,25.45,66.87,7.68
MBarangay 8,Tondo,"14.6087, 120.9701",147,37,95,5,27.01,69.34,3.65
MBarangay 80,Tondo,"14.6153, 120.9653","2,553",715,"1,461",92,31.53,64.42,4.06
MBarangay 800,Santa Ana,"14.5748, 120.9988","1,558",505,"1,001",53,32.39,64.21,3.4
MBarangay 801,Santa Ana,"14.5742, 121.0028",614,131,496,47,19.44,73.59,6.97
MBarangay 802,Santa Ana,"14.5734, 121.0020","1,787",275,"1,036",87,19.67,74.11,6.22
MBarangay 803,Santa Ana,"14.5721, 121.0009","1,705",413,"1,080",72,26.39,69.01,4.6
MBarangay 804,Santa Ana,"14.5729, 121.0040","1,251",332,780,43,28.74,67.53,3.72
MBarangay 805,Santa Ana,"14.5721, 121.0034","1,237",302,650,41,30.41,65.46,4.13
MBarangay 806,Santa Ana,"14.5714, 121.0025","1,603",323,"1,009",54,23.3,72.8,3.9
MBarangay 807,Santa Ana,"14.5705, 121.0015","2,010",780,"1,721",87,30.14,66.5,3.36
MBarangay 808,Santa Ana,"14.5772, 120.9987","2,183",550,"1,465",139,25.53,68.01,6.45
MBarangay 809,Paco,"14.5768, 121.0000","1,189",296,941,75,22.56,71.72,5.72
MBarangay 81,Tondo,"14.6153, 120.9664","1,815",615,"1,330",97,30.12,65.13,4.75
MBarangay 810,Paco,"14.5759, 120.9992","2,293",421,"1,237",133,23.51,69.07,7.43
MBarangay 811,Paco,"14.5773, 120.9978","2,332",592,"1,345",54,29.73,67.55,2.71
MBarangay 812,Paco,"14.5778, 121.0021","1,703",403,"1,298",128,22.03,70.97,7
MBarangay 813,Paco,"14.5775, 121.0007","1,001",276,775,69,24.64,69.2,6.16
MBarangay 814,Paco,"14.5797, 121.0014","2,196",546,"1,475",110,25.62,69.22,5.16
MBarangay 815,Paco,"14.5800, 121.0007","1,374",323,771,72,27.7,66.12,6.17
MBarangay 816,Paco,"14.5793, 121.0026",781,260,735,44,25.02,70.74,4.23
MBarangay 817,Paco,"14.5790, 121.0017","1,716",325,753,44,28.97,67.11,3.92
MBarangay 818,Paco,"14.5815, 121.0036","1,388",393,991,102,26.45,66.69,6.86
MBarangay 818-A,Santa Ana,"14.5815, 121.0047","1,574",556,"1,367",71,27.88,68.56,3.56
MBarangay 819,Paco,"14.5802, 121.0041","2,007",568,"1,528",98,25.89,69.64,4.47
MBarangay 82,Tondo,"14.6167, 120.9665","2,642",851,"1,695",106,32.09,63.91,4
MBarangay 820,Paco,"14.5806, 121.0028","1,417",349,"1,017",66,24.37,71.02,4.61
MBarangay 821,Paco,"14.5829, 120.9984","1,995",540,"1,138",70,30.89,65.1,4
MBarangay 822,Paco,"14.5839, 120.9992",897,559,"1,222",93,29.83,65.21,4.96
MBarangay 823,Paco,"14.5832, 121.0001","3,002",888,"1,685",87,33.38,63.35,3.27
MBarangay 824,Paco,"14.5821, 120.9992","1,302",515,"1,182",63,29.26,67.16,3.58
MBarangay 825,Paco,"14.5807, 121.0002",388,121,312,20,26.71,68.87,4.42
MBarangay 826,Paco,"14.5851, 120.9986","1,760",644,"1,521",121,28.17,66.54,5.29
MBarangay 827,Paco,"14.5849, 120.9963","2,661",887,"2,343",179,26.02,68.73,5.25
MBarangay 828,Paco,"14.5869, 120.9982","2,658",802,"1,904",161,27.97,66.41,5.62
MBarangay 829,Paco,"14.5899, 120.9959","4,226","1,156","2,779",168,28.17,67.73,4.09
MBarangay 83,Tondo,"14.6181, 120.9668","1,473",374,862,67,28.7,66.16,5.14
MBarangay 830,Paco,"14.5934, 120.9991","5,191","2,111","5,589",223,26.64,70.54,2.81
MBarangay 831,Paco,"14.5883, 120.9974","3,350",292,969,63,22.05,73.19,4.76
MBarangay 832,Paco,"14.5914, 121.0013","2,888",54,224,19,18.18,75.42,6.4
MBarangay 833,Pandacan,"14.5949, 121.0038","1,504",432,"1,149",88,25.88,68.84,5.27
MBarangay 834,Pandacan,"14.5944, 121.0075","1,733",470,"1,079",69,29.05,66.69,4.26
MBarangay 835,Pandacan,"14.5918, 121.0077","2,706",658,"1,893",124,24.6,70.77,4.64
MBarangay 836,Pandacan,"14.5941, 121.0112","5,317","1,735","4,010",208,29.14,67.36,3.49
MBarangay 837,Pandacan,"14.5923, 121.0135","3,039",853,"2,239",126,26.51,69.58,3.92
MBarangay 838,Pandacan,"14.5925, 121.0114","2,969",792,"2,107",174,25.77,68.56,5.66
MBarangay 839,Pandacan,"14.5911, 121.0143","2,007",430,"1,307",82,23.64,71.85,4.51
MBarangay 84,Tondo,"14.6175, 120.9668","1,141",236,562,40,28.16,67.06,4.77
MBarangay 840,Pandacan,"14.5915, 121.0113","2,541",614,"1,767",173,24.04,69.19,6.77
MBarangay 841,Pandacan,"14.5858, 120.9999","2,250",504,"1,512",175,23,69.01,7.99
MBarangay 842,Pandacan,"14.5867, 121.0011","2,812","1,089","2,677",175,27.63,67.93,4.44
MBarangay 843,Pandacan,"14.5878, 120.9993","8,744","1,565","3,695",202,28.65,67.65,3.7
MBarangay 844,Pandacan,"14.5884, 121.0003","3,500","1,560","3,534",179,29.58,67.02,3.39
MBarangay 845,Pandacan,"14.5887, 121.0015","1,309",604,"1,300",35,31.15,67.04,1.81
MBarangay 846,Pandacan,"14.5892, 121.0023","1,848",512,"1,420",70,25.57,70.93,3.5
MBarangay 847,Pandacan,"14.5904, 121.0032","2,883",843,"2,184",161,26.44,68.51,5.05
MBarangay 848,Pandacan,"14.5917, 121.0041","1,586",311,899,85,24.02,69.42,6.56
MBarangay 849,Pandacan,"14.5844, 121.0003","1,849",988,"1,652",30,37,61.87,1.12
MBarangay 85,Tondo,"14.6174, 120.9652","4,032","1,169","2,278",167,32.35,63.03,4.62
MBarangay 850,Pandacan,"14.5849, 121.0010","2,456",753,"1,437",67,33.36,63.67,2.97
MBarangay 851,Pandacan,"14.5845, 121.0019","1,052",352,747,43,30.82,65.41,3.77
MBarangay 852,Pandacan,"14.5838, 121.0011","1,118",398,680,6,36.72,62.73,0.54
MBarangay 853,Pandacan,"14.5832, 121.0009",505,191,358,20,33.57,62.92,3.51
MBarangay 855,Pandacan,"14.5846, 121.0028","2,142",582,"1,098",80,33.07,62.39,4.55
MBarangay 856,Pandacan,"14.5879, 121.0026","1,611",730,"1,302",57,34.94,62.33,2.73
MBarangay 857,Pandacan,"14.5859, 121.0037","1,894",552,"1,231",77,29.68,66.18,4.14
MBarangay 858,Pandacan,"14.5883, 121.0034",665,149,413,18,25.69,71.21,3.1
MBarangay 859,Pandacan,"14.5879, 121.0039","1,355",618,"1,632",105,26.24,69.3,4.46
MBarangay 86,Tondo,"14.6170, 120.9697","1,415",455,914,71,31.6,63.47,4.93
MBarangay 860,Pandacan,"14.5894, 121.0068","3,214",385,945,60,27.7,67.99,4.32
MBarangay 861,Pandacan,"14.5904, 121.0070","1,072",215,711,87,21.22,70.19,8.59
MBarangay 862,Pandacan,"14.5881, 121.0055","2,419",553,"1,735",120,22.97,72.05,4.98
MBarangay 863,Pandacan,"14.5894, 121.0049","1,481",354,"1,113",98,22.62,71.12,6.26
MBarangay 864,Pandacan,"14.5869, 121.0049",813,149,597,37,19.03,76.25,4.73
MBarangay 865,Pandacan,"14.5885, 121.0092",79,732,"1,642",107,29.5,66.18,4.31
MBarangay 866,Santa Ana,"14.5830, 121.0069","3,835",560,"1,843",84,22.52,74.11,3.38
MBarangay 867,Pandacan,"14.5840, 121.0051","2,116",811,"2,120",166,26.19,68.45,5.36
MBarangay 868,Pandacan,"14.5846, 121.0042","2,850",747,"1,596",104,30.53,65.22,4.25
MBarangay 869,Pandacan,"14.5804, 121.0051","2,010",597,"1,128",36,33.9,64.05,2.04
MBarangay 87,Tondo,"14.6174, 120.9683","1,633",441,"1,055",84,27.91,66.77,5.32
MBarangay 870,Pandacan,"14.5827, 121.0050","3,049",549,"1,211",69,30.02,66.21,3.77
MBarangay 871,Pandacan,"14.5827, 121.0038","2,407",546,"1,366",77,27.45,68.68,3.87
MBarangay 872,Pandacan,"14.5830, 121.0027","1,864",709,"1,616",81,29.47,67.17,3.37
MBarangay 873,Santa Ana,"14.5798, 121.0122","1,248",195,582,69,23.05,68.79,8.16
MBarangay 874,Santa Ana,"14.5769, 121.0118","2,016",538,"1,509",123,24.79,69.54,5.67
MBarangay 875,Santa Ana,"14.5785, 121.0124","1,022",287,928,91,21.98,71.06,6.97
MBarangay 876,Santa Ana,"14.5815, 121.0113",574,129,460,37,20.61,73.48,5.91
MBarangay 877,Santa Ana,"14.5798, 121.0095","1,813",482,"1,195",107,27.02,66.98,6
MBarangay 878,Santa Ana,"14.5790, 121.0099",960,376,887,94,27.71,65.36,6.93
MBarangay 879,Santa Ana,"14.5820, 121.0126",538,296,583,46,32,63.03,4.97
MBarangay 88,Tondo,"14.6153, 120.9691","1,096",257,582,29,29.61,67.05,3.34
MBarangay 880,Santa Ana,"14.5811, 121.0091","3,417",372,"1,068",31,25.29,72.6,2.11
MBarangay 881,Santa Ana,"14.5768, 121.0131","2,325",561,"1,786",149,22.48,71.55,5.97
MBarangay 882,Santa Ana,"14.5781, 121.0145","1,298",328,788,71,27.63,66.39,5.98
MBarangay 883,Santa Ana,"14.5793, 121.0152","2,199",409,"1,310",144,21.95,70.32,7.73
MBarangay 884,Santa Ana,"14.5806, 121.0153","2,216",453,"1,516",113,21.76,72.81,5.43
MBarangay 885,Santa Ana,"14.5824, 121.0148",623,125,312,42,26.1,65.14,8.77
MBarangay 886,Santa Ana,"14.5830, 121.0162",384,117,331,27,24.63,69.68,5.68
MBarangay 887,Santa Ana,"14.5832, 121.0172",665,197,479,41,27.48,66.81,5.72
MBarangay 888,Santa Ana,"14.5847, 121.0189",837,165,583,59,20.45,72.24,7.31
MBarangay 889,Santa Ana,"14.5838, 121.0138",864,202,644,56,22.39,71.4,6.21
MBarangay 89,Tondo,"14.6164, 120.9680",720,216,489,42,28.92,65.46,5.62
MBarangay 890,Santa Ana,"14.5849, 121.0161","1,049",390,850,48,30.28,65.99,3.73
MBarangay 891,Santa Ana,"14.5857, 121.0182",760,329,680,35,31.51,65.13,3.35
MBarangay 892,Santa Ana,"14.5872, 121.0210","1,144",319,873,70,25.28,69.18,5.55
MBarangay 893,Santa Ana,"14.5908, 121.0239",662,238,589,54,27.01,66.86,6.13
MBarangay 894,Santa Ana,"14.5878, 121.0202","1,885",645,"1,515",119,28.3,66.48,5.22
MBarangay 895,Santa Ana,"14.5886, 121.0214",556,163,416,18,27.3,69.68,3.02
MBarangay 896,Santa Ana,"14.5873, 121.0151","1,265",352,948,70,25.69,69.2,5.11
MBarangay 897,Santa Ana,"14.5874, 121.0177","2,166",492,"1,590",137,22.17,71.65,6.17
MBarangay 898,Santa Ana,"14.5877, 121.0125","7,596","2,069","5,082",293,27.79,68.27,3.94
MBarangay 899,Santa Ana,"14.5871, 121.0111","1,562",439,"1,066",70,27.87,67.68,4.44
MBarangay 9,Tondo,"14.6072, 120.9700",447,170,247,20,38.9,56.52,4.58
MBarangay 90,Tondo,"14.6159, 120.9693",630,150,296,27,31.71,62.58,5.71
MBarangay 900,Santa Ana,"14.5837, 121.0114","8,581","2,791","5,066",225,34.53,62.68,2.78
MBarangay 901,Santa Ana,"14.5871, 121.0106","1,610",458,"1,094",87,27.94,66.75,5.31
MBarangay 902,Santa Ana,"14.5870, 121.0103","1,328",416,"1,044",99,26.68,66.97,6.35
MBarangay 903,Santa Ana,"14.5868, 121.0097","3,691","1,027","1,995",93,32.97,64.04,2.99
MBarangay 904,Santa Ana,"14.5855, 121.0112","1,797",589,"1,134",72,32.81,63.18,4.01
MBarangay 905,Santa Ana,"14.5849, 121.0088","7,385","2,051","4,307",169,31.42,65.99,2.59
MBarangay 91,Tondo,"14.6187, 120.9684","4,552","1,803","3,603",163,32.38,64.7,2.93
MBarangay 92,Tondo,"14.6190, 120.9666","2,639",673,"1,589",121,28.24,66.68,5.08
MBarangay 93,Tondo,"14.6204, 120.9667","3,960","1,389","2,992",147,30.68,66.08,3.25
MBarangay 94,Tondo,"14.6232, 120.9659","2,178",609,"1,159",73,33.08,62.95,3.97
MBarangay 95,Tondo,"14.6196, 120.9649","5,543","1,732","3,155",159,34.32,62.52,3.15
MBarangay 96,Tondo,"14.6245, 120.9638","2,100","1,303","2,859",213,29.78,65.35,4.87
MBarangay 97,Tondo,"14.6214, 120.9644","3,634","1,092","2,286",180,30.69,64.25,5.06
MBarangay 98,Tondo,"14.6275, 120.9621","1,899",309,660,53,30.23,64.58,5.19
MBarangay 99,Tondo,"14.6273, 120.9629","6,310",,,,26.33,69.04,4.64
