,Coordinates,"2,020",2015_cat1,2015_cat2,2015_cat3,2015_cat1%,2015_cat2%,2015_cat3%
B. F. Homes,"14.4463, 121.0275","92,752","22,221","61,612","4,202",25.24,69.99,4.77
Baclaran,"14.5316, 120.9978","33,850","6,815","20,766",804,24.01,73.16,2.83
Don Bosco,"14.4818, 121.0250","54,188","11,656","37,833","2,808",22.29,72.34,5.37
Don Galo,"14.5053, 120.9912","10,550","2,995","8,089",561,25.72,69.46,4.82
La Huerta,"14.5005, 120.9914","8,592","2,500","6,677",392,26.13,69.78,4.1
Marcelo Green Village,"14.4762, 121.0407","37,574","8,336","24,579","1,639",24.12,71.13,4.74
Merville,"14.4999, 121.0263","26,615","5,461","20,428","1,619",19.85,74.26,5.89
Moonwalk,"14.4952, 121.0107","72,520","17,012","48,456","2,255",25.12,71.55,3.33
San Antonio,"14.4695, 121.0240","70,134","18,246","46,727","2,428",27.07,69.33,3.6
San Dionisio,"14.4959, 120.9893","72,522","18,071","43,129","2,306",28.46,67.91,3.63
San Isidro,"14.4710, 121.0078","79,372","19,546","56,036","3,330",24.77,71.01,4.22
San Martin de Porres,"14.4945, 121.0438","20,283","5,465","14,708","1,008",25.8,69.44,4.76
Santo Nino,"14.5032, 120.9964","28,925","9,467","24,354","1,039",27.16,69.86,2.98
Sun Valley,"14.4898, 121.0326","50,087","12,245","34,970","1,698",25.03,71.49,3.47
Tambo,"14.5151, 120.9939","26,928","6,294","18,532",873,24.49,72.11,3.4
Vitalez,"14.5079, 121.0061","5,100","1,019","4,464",151,18.09,79.23,2.68
