,Coordinates,"2,020",2015_cat1,2015_cat2,2015_cat3,2015_cat1%,2015_cat2%,2015_cat3%
Addition Hills,"14.5852, 121.0348","108,896","29,266","67,277","2,515",29.54,67.92,2.54
Bagong Silang,"14.5913, 121.0301","4,939","1,237","4,038",297,22.2,72.47,5.33
Barangka Drive,"14.5700, 121.0362","15,474","3,441","9,264",605,25.85,69.6,4.55
Barangka Ibaba,"14.5697, 121.0392","9,040","2,410","6,715",415,25.26,70.39,4.35
Barangka Ilaya,"14.5691, 121.0449","22,334","5,186","12,394",316,28.98,69.26,1.77
Barangka Itaas,"14.5703, 121.0418","11,242","2,796","8,027",429,24.85,71.34,3.81
Buayang Bato,"14.5687, 121.0510","2,913",392,"1,284",106,22,72.05,5.95
Burol,"14.5897, 121.0276","2,650",702,"1,890",148,25.62,68.98,5.4
Daang Bakal,"14.5933, 121.0280","4,529",939,"2,555",166,25.66,69.81,4.54
Hagdang Bato Itaas,"14.5883, 121.0309","10,267","2,426","7,317",571,23.52,70.94,5.54
Hagdang Bato Libis,"14.5891, 121.0342","6,715","1,497","5,049",416,21.5,72.52,5.98
Harapin Ang Bukas,"14.5920, 121.0262","4,244",974,"3,294",228,21.66,73.27,5.07
Highway Hills,"14.5813, 121.0488","43,267","5,646","21,803","1,254",19.67,75.96,4.37
Hulo,"14.5703, 121.0323","31,335","6,672","19,394","1,449",24.25,70.49,5.27
Mabini-J. Rizal,"14.5858, 121.0211","7,882","1,765","5,481",382,23.14,71.85,5.01
Malamig,"14.5751, 121.0465","12,054","3,080","9,341",246,24.32,73.74,1.94
Mauway,"14.5814, 121.0438","25,800","6,657","21,660",786,22.87,74.43,2.7
Namayan,"14.5798, 121.0208","7,670","1,346","4,384",393,21.98,71.6,6.42
New Zaniga,"14.5833, 121.0286","8,444","1,396","5,695",443,18.53,75.59,5.88
Old Zaniga,"14.5800, 121.0268","6,636","1,748","4,946",319,24.93,70.53,4.55
Pag-asa,"14.5897, 121.0241","4,195",856,"2,916",281,21.12,71.95,6.93
Plainview,"14.5766, 121.0367","29,378","5,752","19,605","1,218",21.64,73.77,4.58
Pleasant Hills,"14.5867, 121.0416","6,003","1,423","4,272",215,24.08,72.28,3.64
Poblacion,"14.5882, 121.0267","16,333","3,648","10,332",753,24.76,70.13,5.11
San Jose,"14.5801, 121.0292","8,483","1,795","5,125",342,24.72,70.57,4.71
Vergara,"14.5770, 121.0246","4,357","1,517","4,083",310,25.67,69.09,5.25
Wack-wack Greenhills,"14.5899, 121.0518","10,678","1,638","6,742",585,18.27,75.2,6.53
