,Coordinates,"2,020",2015_cat1,2015_cat2,2015_cat3,2015_cat1%,2015_cat2%,2015_cat3%
Addition Hills,"14.5923, 121.0338","3,818",501,"2,884",354,13.4,77.13,9.47
Balong-Bato,"14.6084, 121.0234","7,203","1,802","5,542",431,23.18,71.28,5.54
Batis,"14.5991, 121.0247","9,453","2,329","6,973",472,23.83,71.34,4.83
Corazon de Jesus,"14.6066, 121.0316","7,875","1,984","5,583",361,25.03,70.42,4.55
Ermitano,"14.6119, 121.0303","6,361",705,"2,460",216,20.85,72.76,6.39
Greenhills,"14.6017, 121.0504","15,212","3,882","9,554",678,27.5,67.69,4.8
Halo-halo,"14.6033, 121.0326","2,135",125,476,59,18.94,72.12,8.94
Isabelita,"14.6028, 121.0311","1,556",411,"1,210",88,24.05,70.8,5.15
Kabayanan,"14.5978, 121.0302","5,601","1,298","3,699",255,24.71,70.43,4.86
Little Baguio,"14.6009, 121.0383","6,275","1,085","4,662",415,17.61,75.66,6.73
Maytunas,"14.5947, 121.0318","2,775",489,"2,424",268,15.37,76.2,8.43
Onse,"14.6014, 121.0317","3,736",890,"2,867",308,21.89,70.53,7.58
Pasadena,"14.6087, 121.0335","4,417","1,055","3,469",301,21.87,71.9,6.24
Pedro Cruz,"14.6050, 121.0240","4,135",865,"3,249",313,19.54,73.39,7.07
Progreso,"14.6027, 121.0202","1,669",279,"1,049",92,19.65,73.87,6.48
Rivera,"14.6051, 121.0211","2,381",499,"1,585",124,22.6,71.78,5.62
Salapan,"14.6128, 121.0248","8,865","1,822","6,532",393,20.83,74.68,4.49
San Perfecto,"14.6031, 121.0221","4,618","1,048","3,049",196,24.41,71.02,4.57
Santa Lucia,"14.5981, 121.0355","8,092","1,727","5,416",514,22.55,70.73,6.71
Tibagan,"14.6008, 121.0296","3,817",807,"2,940",343,19.73,71.88,8.39
West Crame,"14.6053, 121.0505","16,353","4,214","12,070",489,25.12,71.96,2.92
