,Coordinates,"2,020",2015_cat1,2015_cat2,2015_cat3,2015_cat1%,2015_cat2%,2015_cat3%
Arkong Bato,"14.6963, 120.9535","11,358","2,989","6,626",389,29.88,66.23,3.89
Bagbaguin,"14.7141, 120.9999","15,195","3,752","9,663",355,27.25,70.17,2.58
Balangkas,"14.7116, 120.9438","14,318","3,407","7,949",536,28.65,66.84,4.51
Bignay,"14.7456, 121.0020","49,716","8,406","18,021",632,31.07,66.6,2.34
Bisig,"14.7134, 120.9464","1,432",311,942,80,23.33,70.67,6
Canumay East,"14.7180, 120.9918","14,657","3,269","8,940",253,26.23,71.74,2.03
Canumay West,"14.7102, 120.9840","26,901","6,422","15,216",577,28.91,68.49,2.6
Coloong,"14.7240, 120.9433","12,550","3,013","7,535",606,27.01,67.55,5.43
Dalandanan,"14.7041, 120.9615","23,640","4,727","13,207",799,25.23,70.5,4.27
Gen. T. de Leon,"14.6864, 120.9946","95,809","24,830","60,882","3,729",27.76,68.07,4.17
Isla,"14.7055, 120.9503","5,160","1,351","3,231",211,28.19,67.41,4.4
Karuhatan,"14.6894, 120.9775","41,275","10,659","28,859","1,478",26,70.39,3.61
Lawang Bato,"14.7301, 120.9931","23,786","5,473","13,522",306,28.36,70.06,1.59
Lingunan,"14.7189, 120.9764","24,088","6,014","14,690",513,28.35,69.24,2.42
Mabolo,"14.7116, 120.9487",831,277,871,69,22.76,71.57,5.67
Malanday,"14.7160, 120.9538","19,060","5,073","12,107",768,28.26,67.46,4.28
Malinta,"14.6919, 120.9639","52,107","13,338","33,508","1,551",27.56,69.24,3.2
Mapulang Lupa,"14.7021, 121.0001","30,360","7,872","18,835",647,28.78,68.86,2.37
Marulas,"14.6773, 120.9842","59,339","13,574","38,054","2,350",25.15,70.5,4.35
Maysan,"14.6983, 120.9800","23,081","6,460","16,992",841,26.59,69.95,3.46
Palasan,"14.7041, 120.9478","6,598","1,729","4,094",266,28.4,67.24,4.37
Parada,"14.6959, 120.9882","21,001","4,059","10,297",538,27.25,69.14,3.61
Pariancillo Villa,"14.7077, 120.9449","1,949",458,"1,088",88,28.03,66.59,5.39
Paso de Blas,"14.7080, 120.9926","12,530","3,583","9,321",446,26.84,69.82,3.34
Pasolo,"14.7089, 120.9521","8,150","1,735","4,410",250,27.13,68.96,3.91
Poblacion,"14.7080, 120.9462",221,106,239,27,28.49,64.25,7.26
Pulo,"14.7073, 120.9476","1,126",291,760,52,26.38,68.9,4.71
Punturin,"14.7401, 120.9904","24,437","5,902","14,452",576,28.2,69.05,2.75
Rincon,"14.6974, 120.9590","6,940","1,710","4,635",258,25.9,70.2,3.91
Tagalag,"14.7270, 120.9364","3,400",913,"2,129",167,28.45,66.34,5.2
Ugong,"14.6953, 121.0112","55,494","12,916","27,952",953,30.88,66.84,2.28
Viente Reales,"14.7135, 120.9670","24,399","6,646","15,471",832,28.96,67.41,3.63
Wawang Pulo,"14.7334, 120.9277","4,070","1,024","2,290",202,29.12,65.13,5.75
