,Coordinates,"2,020",2015_cat1,2015_cat2,2015_cat3,2015_cat1%,2015_cat2%,2015_cat3%
Alicia,"14.6615, 121.0254","6,119","1,563","4,592",372,23.95,70.35,5.7
Amihan,"14.6325, 121.0671","3,513",966,"3,514",308,20.18,73.39,6.43
Apolonio Samson,"14.6555, 121.0116","33,629","10,260","27,083","1,240",26.59,70.19,3.21
Aurora,"14.6156, 121.0094","4,221","1,164","4,167",305,20.65,73.94,5.41
Baesa,"14.6687, 121.0119","55,328","17,637","41,724","1,917",28.78,68.09,3.13
Bagbag,"14.6967, 121.0304","64,653","15,577","39,323","2,036",27.36,69.07,3.58
Bagong Lipunan ng Crame,"14.6132, 121.0503","13,630","3,379","10,873",744,22.53,72.51,4.96
Bagong Pag-asa,"14.6623, 121.0334","29,389","8,049","23,033","1,185",24.94,71.38,3.67
Bagong Silangan,"14.6978, 121.1103","106,886","26,682","58,822","2,795",30.22,66.62,3.17
Bagumbayan,"14.6080, 121.0823","22,147","3,120","10,205",507,22.56,73.78,3.67
Bagumbuhay,"14.6246, 121.0653","6,681","1,557","4,721",489,23.01,69.77,7.23
Bahay Toro,"14.6642, 121.0216","59,639","18,253","49,407","3,114",25.79,69.81,4.4
Balingasa,"14.6505, 121.0017","19,260","5,342","14,468",799,25.92,70.2,3.88
Balong Bato,"14.6646, 121.0034","6,991","2,249","5,586",393,27.33,67.89,4.78
Batasan Hills,"14.6861, 121.0994","166,572","45,529","111,001","4,879",28.21,68.77,3.02
Bayanihan,"14.6152, 121.0700",613,278,895,49,22.75,73.24,4.01
Blue Ridge A,"14.6183, 121.0729","1,534",277,"1,304",149,16.01,75.38,8.61
Blue Ridge B,"14.6176, 121.0750","1,071",305,"1,231",165,17.93,72.37,9.7
Botocan,"14.6371, 121.0629","7,501","2,278","5,746",210,27.67,69.78,2.55
Bungad,"14.6502, 121.0244","7,014","1,913","5,744",400,23.74,71.29,4.96
Camp Aguinaldo,"14.6056, 121.0624","3,269","1,455","3,460",62,29.23,69.52,1.25
Capri,"14.7167, 121.0285","12,903","4,770","9,367",450,32.7,64.21,3.08
Central,"14.6450, 121.0479","19,331","4,070","13,025",495,23.14,74.05,2.81
Claro,"14.6315, 121.0646","3,885",918,"3,278",236,20.71,73.96,5.32
Commonwealth,"14.6968, 121.0875","213,229","58,070","134,317","5,898",29.29,67.74,2.97
Culiat,"14.6679, 121.0565","67,804","19,430","52,092","2,782",26.15,70.11,3.74
Damar,"14.6457, 121.0013",952,139,"1,308",199,8.44,79.47,12.09
Damayan,"14.6386, 121.0141","6,007","2,323","5,987",406,26.65,68.69,4.66
Damayang Lagi,"14.6158, 121.0233","19,466","4,868","13,107",624,26.17,70.47,3.36
Del Monte,"14.6436, 121.0145","10,595","2,963","8,590",632,24.32,70.5,5.19
Dioquino Zobel,"14.6200, 121.0647","1,805",465,"1,334",88,24.64,70.69,4.66
Don Manuel,"14.6164, 121.0044","1,728",621,"2,867",265,16.55,76.39,7.06
