,Coordinates,"2,020",2015_cat1,2015_cat2,2015_cat3,2015_cat1%,2015_cat2%,2015_cat3%
CBarangay 143,"14.6634, 120.9934","3,434","1,115","2,427",131,30.36,66.08,3.57
CBarangay 144,"14.6640, 120.9945","4,533","1,393","3,189",161,29.37,67.24,3.39
CBarangay 145,"14.6658, 120.9939","4,705","1,259","3,091",157,27.93,68.58,3.48
CBarangay 146,"14.6647, 120.9958","3,180",855,"2,133",129,27.43,68.43,4.14
CBarangay 147,"14.6643, 120.9975","3,687",966,"2,551",147,26.36,69.62,4.01
CBarangay 148,"14.6660, 120.9956","3,704",956,"2,615",183,25.47,69.66,4.87
CBarangay 149,"14.6675, 120.9959","5,255","1,132","3,078",216,25.58,69.54,4.88
CBarangay 15,"14.6494, 120.9733","1,424",283,828,93,23.5,68.77,7.72
CBarangay 150,"14.6664, 120.9973","4,439","1,119","2,867",175,26.89,68.9,4.21
CBarangay 151,"14.6645, 120.9995","5,177","1,288","2,838",147,30.14,66.42,3.44
CBarangay 152,"14.6683, 120.9978","4,236","1,052","2,711",153,26.86,69.23,3.91
CBarangay 153,"14.6672, 120.9987","3,706","1,091","2,807",180,26.75,68.83,4.41
CBarangay 154,"14.6660, 120.9995","3,958","1,133","2,578",165,29.23,66.51,4.26
CBarangay 155,"14.6683, 120.9997","3,613","1,016","2,392",123,28.77,67.74,3.48
CBarangay 156,"14.6663, 121.0012","6,236","1,400","3,650",216,26.59,69.31,4.1
CBarangay 157,"14.6684, 121.0012","3,151",790,"1,940",153,27.4,67.29,5.31
CBarangay 158,"14.6708, 121.0028","2,003",421,"1,388",92,22.15,73.01,4.84
CBarangay 159,"14.6749, 121.0069","5,477","1,344","3,473",179,26.9,69.52,3.58
CBarangay 16,"14.6504, 120.9699","3,550","1,020","2,890",193,24.86,70.44,4.7
CBarangay 160,"14.6796, 121.0022","16,828","4,485","10,247",536,29.38,67.11,3.51
CBarangay 161,"14.6763, 121.0018","9,718","2,834","6,515",264,29.48,67.77,2.75
CBarangay 162,"14.6817, 121.0087","16,103","4,547","10,963",555,28.3,68.24,3.45
CBarangay 163,"14.6804, 121.0125","14,491","3,980","9,935",512,27.59,68.86,3.55
CBarangay 164,"14.6896, 121.0169","19,471","4,534","10,915",624,28.21,67.91,3.88
CBarangay 165,"14.7178, 121.0045","26,622","8,915","20,722",603,29.48,68.53,1.99
CBarangay 166,"14.7194, 121.0102","20,985","5,098","12,337",371,28.63,69.29,2.08
CBarangay 167,"14.7326, 121.0124","57,041","15,244","37,253","1,338",28.32,69.2,2.49
CBarangay 168,"14.7402, 121.0255","35,729","8,458","22,811","1,351",25.93,69.93,4.14
CBarangay 169,"14.7329, 121.0233","4,887","1,027","3,326",347,21.85,70.77,7.38
CBarangay 17,"14.6489, 120.9746","3,419",910,"2,209",153,27.81,67.51,4.68
CBarangay 170,"14.7373, 121.0331","12,901","3,103","7,705",514,27.41,68.05,4.54
CBarangay 171,"14.7479, 121.0307","111,713","28,541","66,305","3,320",29.07,67.54,3.38
CBarangay 172,"14.7481, 121.0411","22,829","4,979","15,490","1,250",22.92,71.32,5.76
CBarangay 173,"14.7522, 121.0346","15,165","4,089","10,848",760,26.05,69.11,4.84
CBarangay 174,"14.7611, 121.0495","25,000","6,785","14,852",778,30.27,66.26,3.47
CBarangay 175,"14.7657, 121.0449","71,726","19,881","41,985","2,165",31.05,65.57,3.38
CBarangay 176,"14.7751, 121.0448","261,729","77,995","160,021","8,499",31.64,64.91,3.45
CBarangay 177,"14.7481, 121.0489","84,159","22,483","54,172","2,969",28.24,68.03,3.73
CBarangay 178,"14.7572, 121.0576","110,224","33,675","70,836","3,085",31.3,65.84,2.87
CBarangay 179,"14.7468, 121.0789","46,828","10,655","25,314","1,366",28.54,67.8,3.66
CBarangay 18,"14.6492, 120.9710","10,932","2,971","6,873",462,28.83,66.69,4.48
CBarangay 180,"14.7633, 121.0792","18,802","5,344","10,680",476,32.39,64.73,2.88
CBarangay 181,"14.7654, 121.0913","22,269","7,391","13,928",599,33.72,63.55,2.73
CBarangay 182,"14.7649, 121.0976","9,269","2,879","5,486",358,33,62.89,4.1
CBarangay 183,"14.7549, 121.0831","7,354","1,323","3,112",190,28.61,67.29,4.11
CBarangay 184,"14.7644, 121.0828","2,919",695,"1,846",128,26.04,69.16,4.8
CBarangay 185,"14.7695, 121.0794","27,169","8,630","17,904",799,31.57,65.5,2.92
CBarangay 186,"14.7655, 121.0724","25,346","6,773","14,141",754,31.26,65.26,3.48
CBarangay 187,"14.7661, 121.0610","25,046","7,796","14,966",767,33.13,63.61,3.26
CBarangay 188,"14.7691, 121.0613","32,543","9,816","17,756",729,34.68,62.74,2.58
CBarangay 19,"14.6466, 120.9749","3,655",923,"2,181",147,28.39,67.09,4.52
CBarangay 2,"14.6609, 120.9721","5,156","1,375","3,533",226,26.78,68.82,4.4
CBarangay 20,"14.6474, 120.9708","7,892","2,073","6,601",341,23,73.22,3.78
CBarangay 21,"14.6445, 120.9755","2,787",824,"2,224",186,25.48,68.77,5.75
CBarangay 22,"14.6456, 120.9711","5,653","1,418","3,909",221,25.56,70.46,3.98
CBarangay 23,"14.6435, 120.9744","2,736",628,"1,535",97,27.79,67.92,4.29
CBarangay 24,"14.6434, 120.9730","2,498",530,"1,602",123,23.5,71.04,5.45
CBarangay 25,"14.6420, 120.9762","1,611",405,"1,089",73,25.85,69.5,4.66
CBarangay 26,"14.6414, 120.9748","3,734",855,"2,653",186,23.15,71.82,5.04
CBarangay 27,"14.6414, 120.9730","4,121",971,"2,650",201,25.41,69.34,5.26
CBarangay 28,"14.6433, 120.9708","33,091","9,500","20,539",929,30.68,66.32,3
CBarangay 29,"14.6405, 120.9764","1,603",446,983,62,29.91,65.93,4.16
CBarangay 3,"14.6587, 120.9720","2,497",651,"1,867",103,24.84,71.23,3.93
CBarangay 30,"14.6390, 120.9744","3,498",977,"2,512",163,26.75,68.78,4.46
CBarangay 31,"14.6406, 120.9713","3,666","1,377","3,406",214,27.56,68.16,4.28
CBarangay 32,"14.6386, 120.9764","2,864",746,"1,691",111,29.28,66.37,4.36
CBarangay 33,"14.6365, 120.9756","5,464","1,453","3,942",273,25.64,69.55,4.82
CBarangay 34,"14.6369, 120.9732","6,445","1,869","4,228",216,29.61,66.97,3.42
CBarangay 35,"14.6381, 120.9725","23,173","6,440","14,589",749,29.57,66.99,3.44
CBarangay 36,"14.6362, 120.9783","4,115","1,323","3,653",290,25.12,69.37,5.51
CBarangay 37,"14.6386, 120.9779","2,845",660,"2,133",171,22.27,71.96,5.77
CBarangay 38,"14.6394, 120.9789","3,854","1,207","2,907",186,28.07,67.6,4.33
CBarangay 39,"14.6373, 120.9825",891,251,651,26,27.05,70.15,2.8
CBarangay 4,"14.6591, 120.9694","2,875",828,"1,868",113,29.48,66.5,4.02
CBarangay 40,"14.6385, 120.9824",963,316,970,63,23.42,71.91,4.67
CBarangay 41,"14.6398, 120.9823",903,240,857,72,20.53,73.31,6.16
CBarangay 42,"14.6399, 120.9805",715,154,560,46,20.26,73.68,6.05
CBarangay 43,"14.6407, 120.9781","3,521","1,023","2,619",185,26.73,68.43,4.83
CBarangay 44,"14.6410, 120.9802",529,168,504,28,24,72,4
CBarangay 45,"14.6411, 120.9824",311,179,436,36,27.5,66.97,5.53
CBarangay 46,"14.6426, 120.9779","1,454",326,"1,010",90,22.86,70.83,6.31
CBarangay 47,"14.6425, 120.9802",559,101,282,12,25.57,71.39,3.04
CBarangay 48,"14.6427, 120.9824",606,148,472,32,22.7,72.39,4.91
CBarangay 49,"14.6445, 120.9771","4,095","1,806","4,074",200,29.7,67.01,3.29
CBarangay 5,"14.6565, 120.9728","3,083",870,"2,010",124,28.96,66.91,4.13
CBarangay 50,"14.6440, 120.9790","1,005",297,967,69,22.28,72.54,5.18
CBarangay 51,"14.6438, 120.9817",765,203,699,62,21.06,72.51,6.43
CBarangay 52,"14.6466, 120.9769","1,279",768,"1,919",129,27.27,68.15,4.58
CBarangay 53,"14.6461, 120.9785",876,230,892,59,19.48,75.53,5
CBarangay 54,"14.6467, 120.9815",572,227,584,22,27.25,70.11,2.64
CBarangay 55,"14.6450, 120.9814","1,442",341,864,57,27.02,68.46,4.52
CBarangay 56,"14.6480, 120.9768","2,464",887,"2,286",155,26.65,68.69,4.66
CBarangay 57,"14.6480, 120.9793",756,179,521,38,24.25,70.6,5.15
CBarangay 58,"14.6481, 120.9822",493,157,452,28,24.65,70.96,4.4
CBarangay 59,"14.6498, 120.9766","3,808","1,418","3,254",171,29.28,67.19,3.53
CBarangay 6,"14.6573, 120.9705","1,190",260,876,85,21.29,71.74,6.96
CBarangay 60,"14.6503, 120.9787","1,792",415,"1,395",134,21.35,71.76,6.89
CBarangay 61,"14.6494, 120.9816",996,224,783,48,21.23,74.22,4.55
CBarangay 62,"14.6508, 120.9816",244,67,268,19,18.93,75.71,5.37
CBarangay 63,"14.6508, 120.9765","2,988",916,"2,370",137,26.76,69.24,4
CBarangay 64,"14.6520, 120.9755","1,550",346,935,64,25.72,69.52,4.76
CBarangay 65,"14.6527, 120.9766","1,300",222,700,99,21.74,68.56,9.7
CBarangay 66,"14.6526, 120.9783","2,206",319,975,67,23.44,71.64,4.92
CBarangay 67,"14.6527, 120.9805","2,320",617,"1,769",123,24.59,70.51,4.9
CBarangay 68,"14.6525, 120.9827","1,106",195,899,79,16.63,76.64,6.73
CBarangay 69,"14.6541, 120.9778","3,173",849,"2,197",145,26.61,68.85,4.54
CBarangay 7,"14.6559, 120.9705","2,608",657,"1,812",150,25.09,69.19,5.73
CBarangay 70,"14.6544, 120.9795","4,411","1,057","2,979",172,25.12,70.79,4.09
CBarangay 71,"14.6546, 120.9831",777,208,589,28,25.21,71.39,3.39
CBarangay 72,"14.6555, 120.9824",46,,,,25.53,69.9,4.57
CBarangay 73,"14.6554, 120.9756","17,649","5,515","12,096",382,30.65,67.23,2.12
CBarangay 74,"14.6563, 120.9786","3,864",889,"2,447",165,25.39,69.89,4.71
CBarangay 75,"14.6555, 120.9806","2,207",734,"2,372",140,22.61,73.07,4.31
CBarangay 76,"14.6564, 120.9831",2,0,2,0,0,100,0
CBarangay 77,"14.6580, 120.9810",822,231,706,40,23.64,72.26,4.09
CBarangay 78,"14.6594, 120.9833","1,818",480,"1,293",69,26.06,70.2,3.75
CBarangay 79,"14.6596, 120.9811",631,138,482,12,21.84,76.27,1.89
CBarangay 8,"14.6571, 120.9657","23,399","6,925","16,240",601,29.14,68.33,2.53
CBarangay 80,"14.6597, 120.9766","1,904",366,"1,309",138,20.19,72.2,7.61
CBarangay 81,"14.6594, 120.9847","1,894",694,"1,778",56,27.45,70.33,2.22
CBarangay 82,"14.6628, 120.9892","1,758",484,"1,362",103,24.83,69.88,5.28
CBarangay 83,"14.6602, 120.9886","1,251",260,"1,002",85,19.3,74.39,6.31
CBarangay 84,"14.6598, 120.9868","1,257",242,937,98,18.95,73.38,7.67
CBarangay 85,"14.6586, 120.9896",989,248,976,77,19.06,75.02,5.92
CBarangay 86,"14.6564, 120.9861","1,109",366,"1,036",52,25.17,71.25,3.58
CBarangay 87,"14.6563, 120.9905","1,385",271,943,96,20.69,71.98,7.33
CBarangay 88,"14.6547, 120.9861","2,202",502,"1,849",137,20.18,74.32,5.51
CBarangay 89,"14.6544, 120.9894","1,057",365,"1,103",82,23.55,71.16,5.29
CBarangay 9,"14.6532, 120.9739","1,866",470,"1,416",100,23.67,71.3,5.04
CBarangay 90,"14.6537, 120.9863","1,518",346,997,86,24.21,69.77,6.02
CBarangay 91,"14.6524, 120.9864",610,121,445,32,20.23,74.41,5.35
CBarangay 92,"14.6547, 120.9908",620,121,450,39,19.84,73.77,6.39
CBarangay 93,"14.6519, 120.9907","3,267",874,"2,252",122,26.91,69.33,3.76
CBarangay 94,"14.6565, 120.9942",776,200,686,41,21.57,74,4.42
CBarangay 95,"14.6563, 120.9973","2,242",654,"1,995",135,23.49,71.66,4.85
CBarangay 96,"14.6543, 120.9932","1,366",322,"1,138",80,20.91,73.9,5.19
CBarangay 97,"14.6526, 120.9930","1,537",442,"1,146",66,26.72,69.29,3.99
CBarangay 98,"14.6522, 120.9945","1,761",605,"1,487",90,27.73,68.15,4.12
CBarangay 99,"14.6549, 120.9972",677,123,604,45,15.93,78.24,5.83
