,Coordinates,"2,020",2015_cat1,2015_cat2,2015_cat3,2015_cat1%,2015_cat2%,2015_cat3%
CBarangay 1,"14.6589, 120.9732","2,319",601,"1,702",114,24.87,70.42,4.72
CBarangay 10,"14.6544, 120.9714","1,485",297,967,75,22.18,72.22,5.6
CBarangay 100,"14.6538, 120.9958",983,203,729,52,20.63,74.09,5.28
CBarangay 101,"14.6505, 120.9931","2,517",525,"1,718",141,22.02,72.06,5.91
CBarangay 102,"14.6497, 120.9943","1,033",234,866,57,20.22,74.85,4.93
CBarangay 103,"14.6492, 120.9903",175,111,329,22,24.03,71.21,4.76
CBarangay 104,"14.6492, 120.9888",899,221,636,29,24.94,71.78,3.27
CBarangay 105,"14.6480, 120.9927","2,216",680,"1,617",87,28.52,67.83,3.65
CBarangay 106,"14.6501, 120.9845",358,81,311,29,19.24,73.87,6.89
CBarangay 107,"14.6507, 120.9860",709,174,582,42,21.8,72.93,5.26
CBarangay 108,"14.6500, 120.9874",668,139,518,43,19.86,74,6.14
CBarangay 109,"14.6479, 120.9859",743,277,792,52,24.71,70.65,4.64
CBarangay 11,"14.6537, 120.9707","1,230",320,"1,225",107,19.37,74.15,6.48
CBarangay 110,"14.6468, 120.9844",435,84,401,24,16.5,78.78,4.72
CBarangay 111,"14.6468, 120.9859","1,472",361,"1,010",64,25.16,70.38,4.46
CBarangay 112,"14.6467, 120.9873","1,133",228,786,55,21.33,73.53,5.14
CBarangay 113,"14.6450, 120.9843",228,43,120,6,25.44,71.01,3.49
CBarangay 114,"14.6448, 120.9854",988,240,780,62,22.18,72.09,5.73
CBarangay 115,"14.6448, 120.9862","1,051",271,810,46,24.05,71.87,4.08
CBarangay 116,"14.6450, 120.9872","1,018",173,979,27,14.67,83.04,2.29
CBarangay 117,"14.6438, 120.9847","1,751",326,"1,037",51,23.06,73.34,3.61
CBarangay 118,"14.6420, 120.9877","5,836","1,469","3,066",116,31.58,65.92,2.49
CBarangay 119,"14.6424, 120.9845",857,189,563,33,24.08,71.72,4.2
CBarangay 12,"14.6533, 120.9663","34,309","9,228","22,151","1,048",28.46,68.31,3.23
CBarangay 120,"14.6398, 120.9842","8,269","2,820","5,746",228,32.07,65.34,2.59
CBarangay 121,"14.6464, 120.9894",271,80,197,22,26.76,65.89,7.36
CBarangay 122,"14.6459, 120.9921","2,249",487,"1,490",85,23.62,72.26,4.12
CBarangay 123,"14.6450, 120.9887",710,232,632,39,25.69,69.99,4.32
CBarangay 124,"14.6450, 120.9901",387,75,235,18,22.87,71.65,5.49
CBarangay 125,"14.6446, 120.9919","1,293",292,896,90,22.85,70.11,7.04
CBarangay 126,"14.6431, 120.9914","1,194",233,806,44,21.51,74.42,4.06
CBarangay 127,"14.6413, 120.9906","2,380",529,"1,455",129,25.04,68.86,6.11
CBarangay 128,"14.6397, 120.9901","2,050",465,"1,206",81,26.54,68.84,4.62
CBarangay 129,"14.6387, 120.9897","1,558",449,"1,289",101,24.42,70.09,5.49
CBarangay 13,"14.6520, 120.9723","1,074",347,959,105,24.59,67.97,7.44
CBarangay 130,"14.6378, 120.9894","2,527",812,"2,089",154,26.58,68.38,5.04
CBarangay 131,"14.6375, 120.9919","2,187",567,"1,585",134,24.8,69.34,5.86
CBarangay 132,"14.6633, 120.9909","7,961","2,105","5,490",329,26.56,69.28,4.15
CBarangay 133,"14.6630, 120.9924","5,587","1,628","3,857",209,28.59,67.74,3.67
CBarangay 134,"14.6586, 120.9909",982,236,628,24,26.58,70.72,2.7
CBarangay 135,"14.6584, 120.9925",627,138,470,11,22.29,75.93,1.78
CBarangay 136,"14.6584, 120.9948",399,109,284,13,26.85,69.95,3.2
CBarangay 137,"14.6608, 120.9947",934,363,814,44,29.73,66.67,3.6
CBarangay 138,"14.6594, 120.9971","1,429",399,"1,075",61,25.99,70.03,3.97
CBarangay 139,"14.6596, 120.9989","3,505",973,"2,329",112,28.5,68.22,3.28
CBarangay 14,"14.6486, 120.9644","21,906","6,112","14,838",629,28.32,68.76,2.91
CBarangay 140,"14.6631, 120.9959",797,264,737,26,25.71,71.76,2.53
CBarangay 141,"14.6631, 120.9986","3,253",822,"2,086",102,27.31,69.3,3.39
CBarangay 142,"14.6647, 120.9927","3,889","1,076","2,704",156,27.34,68.7,3.96
