,Coordinates,"2,020",2015_cat1,2015_cat2,2015_cat3,2015_cat1%,2015_cat2%,2015_cat3%
Acacia,"14.6678, 120.9688","4,959","1,257","3,602",268,24.52,70.26,5.23
Baritan,"14.6721, 120.9470","12,148","2,366","7,096",731,23.21,69.62,7.17
Bayan-bayanan,"14.6756, 120.9456","6,705","1,858","4,494",350,27.72,67.05,5.22
Catmon,"14.6700, 120.9602","44,868","12,822","25,797",847,32.49,65.37,2.15
Concepcion,"14.6689, 120.9471","12,704","3,587","8,950",774,26.95,67.24,5.81
Dampalit,"14.6944, 120.9324","13,514","3,415","7,991",718,28.17,65.91,5.92
Flores,"14.6743, 120.9429","3,830",917,"2,861",282,22.59,70.47,6.95
Hulong Duhat,"14.6780, 120.9420","11,892","3,267","7,973",717,27.32,66.68,6
Ibaba,"14.6645, 120.9507","8,041","2,225","5,699",547,26.27,67.28,6.46
Longos,"14.6539, 120.9607","55,424","15,621","35,984","1,944",29.17,67.2,3.63
Maysilo,"14.6798, 120.9613","10,445","3,454","7,385",423,30.67,65.57,3.76
Muzon,"14.6758, 120.9498","5,908","1,442","3,911",315,25.44,69,5.56
Niugan,"14.6672, 120.9553","7,192","1,533","4,325",374,24.6,69.4,6
Panghulo,"14.6872, 120.9547","17,746","4,258","10,187",657,28.19,67.45,4.35
Potrero,"14.6630, 120.9833","42,311","11,603","29,604","1,561",27.13,69.22,3.65
San Agustin,"14.6614, 120.9508","10,804","3,259","7,401",535,29.11,66.11,4.78
Santolan,"14.6861, 120.9592","13,461","3,992","9,297",480,28.99,67.52,3.49
Tanong,"14.6546, 120.9535","14,461","4,287","9,516",601,29.76,66.06,4.17
Tinajeros,"14.6709, 120.9696","18,411","4,747","12,600",881,26.04,69.12,4.83
Tonsuya,"14.6629, 120.9586","40,172","11,813","25,168","1,038",31.07,66.2,2.73
Tugatog,"14.6641, 120.9694","25,526","6,404","16,359","1,155",26.77,68.4,4.83
