,Coordinates,"2,020",2015_cat1,2015_cat2,2015_cat3,2015_cat1%,2015_cat2%,2015_cat3%
PBarangay 1,"14.5585, 120.9887","2,275",313,859,61,25.39,69.67,4.95
PBarangay 10,"14.5521, 120.9910","1,405",424,"1,023",54,28.25,68.15,3.6
PBarangay 100,"14.5421, 121.0022","1,223",300,"1,007",53,22.06,74.04,3.9
PBarangay 101,"14.5434, 121.0020",550,77,316,16,18.83,77.26,3.91
PBarangay 102,"14.5440, 121.0020",826,242,573,30,28.64,67.81,3.55
PBarangay 103,"14.5452, 121.0036",949,218,756,50,21.29,73.83,4.88
PBarangay 104,"14.5450, 121.0019","1,127",412,"1,215",91,23.98,70.72,5.3
PBarangay 105,"14.5457, 121.0018",567,120,471,29,19.35,75.97,4.68
PBarangay 106,"14.5462, 121.0018","1,158",245,816,70,21.66,72.15,6.19
PBarangay 107,"14.5473, 121.0015","1,561",417,"1,359",64,22.66,73.86,3.48
PBarangay 108,"14.5475, 121.0032","2,070",461,"1,570",103,21.6,73.57,4.83
PBarangay 109,"14.5467, 121.0034","1,122",254,802,38,23.22,73.31,3.47
PBarangay 11,"14.5513, 120.9912",408,108,347,16,22.93,73.67,3.4
PBarangay 110,"14.5461, 121.0035","1,827",550,"1,347",76,27.88,68.27,3.85
PBarangay 111,"14.5442, 121.0036","1,279",294,885,58,23.77,71.54,4.69
PBarangay 112,"14.5435, 121.0037",640,79,266,37,20.68,69.63,9.69
PBarangay 113,"14.5416, 121.0034","1,800",462,"1,360",104,23.99,70.61,5.4
PBarangay 114,"14.5429, 121.0048","1,050",209,681,42,22.42,73.07,4.51
PBarangay 115,"14.5415, 121.0049","1,240",232,794,46,21.64,74.07,4.29
PBarangay 116,"14.5404, 121.0043","1,205",296,967,57,22.42,73.26,4.32
PBarangay 117,"14.5404, 121.0053",935,257,707,57,25.17,69.25,5.58
PBarangay 118,"14.5389, 121.0037","1,634",386,"1,487",90,19.66,75.75,4.58
PBarangay 119,"14.5391, 121.0047","1,622",288,"1,061",49,20.6,75.89,3.51
PBarangay 12,"14.5507, 120.9914",540,296,861,35,24.83,72.23,2.94
PBarangay 120,"14.5486, 121.0048",332,66,239,25,20,72.42,7.58
PBarangay 121,"14.5474, 121.0053","1,007",172,638,37,20.31,75.32,4.37
PBarangay 122,"14.5463, 121.0049","1,184",258,848,70,21.94,72.11,5.95
PBarangay 123,"14.5465, 121.0058","1,284",342,899,54,26.41,69.42,4.17
PBarangay 124,"14.5455, 121.0054","1,666",367,"1,045",61,24.92,70.94,4.14
