,Coordinates,"2,020",2015_cat1,2015_cat2,2015_cat3,2015_cat1%,2015_cat2%,2015_cat3%
PBarangay 125,"14.5443, 121.0055","1,508",353,"1,160",78,22.19,72.91,4.9
PBarangay 126,"14.5435, 121.0054",725,296,815,57,25.34,69.78,4.88
PBarangay 127,"14.5491, 121.0060","1,799",586,"1,323",68,29.64,66.92,3.44
PBarangay 128,"14.5492, 121.0070","1,634",244,845,44,21.54,74.58,3.88
PBarangay 129,"14.5476, 121.0067","1,209",274,767,35,25.46,71.28,3.25
PBarangay 13,"14.5479, 120.9920","2,646",678,"1,645",82,28.19,68.4,3.41
PBarangay 130,"14.5480, 121.0081","4,042","1,107","2,322",108,31.3,65.65,3.05
PBarangay 131,"14.5458, 121.0069","1,427",182,"1,355",18,11.7,87.14,1.16
PBarangay 132,"14.5465, 121.0080","5,088",895,"2,530",76,25.56,72.27,2.17
PBarangay 133,"14.5439, 121.0069","2,221",405,"1,359",41,22.44,75.29,2.27
PBarangay 134,"14.5451, 121.0081","1,686",572,"1,129",46,32.74,64.63,2.63
PBarangay 135,"14.5438, 121.0085","2,768",490,"1,651",98,21.88,73.74,4.38
PBarangay 136,"14.5424, 121.0071","2,167",338,"1,159",53,21.81,74.77,3.42
PBarangay 137,"14.5422, 121.0088","2,994","1,080","2,965",129,25.87,71.03,3.09
PBarangay 138,"14.5415, 121.0069","1,031",330,"1,130",60,21.71,74.34,3.95
PBarangay 139,"14.5407, 121.0067","1,065",206,606,36,24.29,71.46,4.25
PBarangay 14,"14.5585, 120.9913","4,769","1,906","5,178",135,26.4,71.73,1.87
PBarangay 140,"14.5401, 121.0064",590,181,587,48,22.18,71.94,5.88
PBarangay 141,"14.5392, 121.0060",465,176,494,41,24.75,69.48,5.77
PBarangay 142,"14.5384, 121.0057",318,108,355,32,21.82,71.72,6.46
PBarangay 143,"14.5398, 121.0077","1,390",392,985,25,27.96,70.26,1.78
PBarangay 144,"14.5395, 121.0096","2,212",470,"1,201",43,27.42,70.07,2.51
PBarangay 145,"14.5341, 120.9991","8,758","2,104","5,042",282,28.33,67.88,3.8
PBarangay 146,"14.5365, 121.0010","1,036",137,372,24,25.7,69.79,4.5
PBarangay 147,"14.5367, 121.0026","1,459",334,"1,172",74,21.14,74.18,4.68
PBarangay 148,"14.5335, 121.0027","3,164","1,109","2,644",135,28.52,68,3.47
PBarangay 149,"14.5349, 121.0037",768,133,315,12,28.91,68.48,2.61
PBarangay 15,"14.5593, 120.9919","2,328",563,"2,070",85,20.71,76.16,3.13
PBarangay 150,"14.5369, 121.0037",662,148,452,22,23.79,72.67,3.54
PBarangay 151,"14.5372, 121.0048","1,175",196,648,20,22.69,75,2.31
PBarangay 152,"14.5374, 121.0066","1,219",443,916,27,31.96,66.09,1.95
PBarangay 153,"14.5363, 121.0050","1,367",398,923,61,28.8,66.79,4.41
PBarangay 154,"14.5356, 121.0045",743,182,462,38,26.69,67.74,5.57
PBarangay 155,"14.5346, 121.0049",916,196,583,35,24.08,71.62,4.3
PBarangay 156,"14.5331, 121.0043","3,540","1,011","2,173",115,30.65,65.87,3.49
PBarangay 157,"14.5360, 121.0062","2,242",743,"1,614",68,30.64,66.56,2.8
PBarangay 158,"14.5372, 121.0079",961,189,595,14,23.68,74.56,1.75
PBarangay 159,"14.5378, 121.0096","1,301",317,"1,132",94,20.54,73.36,6.09
PBarangay 16,"14.5579, 120.9919",424,284,722,29,27.44,69.76,2.8
PBarangay 160,"14.5370, 121.0095","1,245",284,832,58,24.19,70.87,4.94
PBarangay 161,"14.5356, 121.0087","2,834",634,"2,001",65,23.48,74.11,2.41
PBarangay 162,"14.5348, 121.0076","1,898",363,"1,029",37,25.4,72.01,2.59
PBarangay 163,"14.5340, 121.0077","1,467",313,858,32,26.02,71.32,2.66
PBarangay 164,"14.5336, 121.0074","1,749",420,"1,233",82,24.21,71.07,4.73
PBarangay 165,"14.5335, 121.0062","5,472","1,623","3,576",131,30.45,67.09,2.46
PBarangay 166,"14.5364, 121.0104","1,190",215,773,35,21.02,75.56,3.42
PBarangay 167,"14.5333, 121.0090",755,142,620,43,17.64,77.02,5.34
PBarangay 168,"14.5316, 121.0084",521,85,319,17,20.19,75.77,4.04
PBarangay 169,"14.5381, 121.0121","2,825",675,"2,326",110,21.7,74.77,3.54
PBarangay 17,"14.5585, 120.9929",985,176,815,22,17.37,80.45,2.17
PBarangay 170,"14.5369, 121.0120","1,571",367,"1,450",122,18.93,74.78,6.29
PBarangay 171,"14.5361, 121.0118","3,390",786,"2,324",92,24.55,72.58,2.87
PBarangay 172,"14.5351, 121.0114","4,919","1,437","3,827",178,26.41,70.32,3.27
PBarangay 173,"14.5341, 121.0116","1,814",526,"1,450",44,26.04,71.78,2.18
PBarangay 174,"14.5336, 121.0108","1,826",432,"1,242",57,24.96,71.75,3.29
PBarangay 175,"14.5331, 121.0105","1,952",548,"1,433",83,26.55,69.43,4.02
PBarangay 176,"14.5324, 121.0118","1,617",551,"1,221",61,30.06,66.61,3.33
PBarangay 177,"14.5316, 121.0111","6,235","1,515","3,386",173,29.86,66.73,3.41
PBarangay 178,"14.5306, 121.0056","3,889","1,609","3,804",207,28.63,67.69,3.68
PBarangay 179,"14.5307, 121.0076","6,692","1,338","3,524",196,26.45,69.67,3.88
PBarangay 18,"14.5568, 120.9919","1,019",192,658,46,21.43,73.44,5.13
PBarangay 180,"14.5303, 121.0117","2,059",698,"1,315",61,33.65,63.4,2.94
PBarangay 181,"14.5300, 121.0113","1,883",766,"1,619",68,31.23,66,2.77
PBarangay 182,"14.5309, 121.0099","2,906",777,"1,846",102,28.51,67.74,3.74
PBarangay 183,"14.5191, 121.0196","37,372","6,881","23,879","1,386",21.41,74.28,4.31
PBarangay 184,"14.5287, 121.0079","14,209","4,349","10,244",466,28.88,68.03,3.09
PBarangay 185,"14.5274, 121.0110","4,639","1,252","3,729",198,24.17,72,3.82
PBarangay 186,"14.5314, 121.0051","3,450","1,496","3,436",161,29.37,67.47,3.16
PBarangay 187,"14.5335, 121.0006","4,629","1,068","2,859",150,26.2,70.13,3.68
PBarangay 188,"14.5318, 121.0016","2,094",448,"1,356",53,24.12,73.02,2.85
PBarangay 189,"14.5319, 121.0004","2,431",325,871,42,26.25,70.36,3.39
PBarangay 19,"14.5571, 120.9933",812,276,662,30,28.51,68.39,3.1
PBarangay 190,"14.5304, 121.0020","4,336","1,062","2,344",147,29.89,65.97,4.14
PBarangay 191,"14.5203, 121.0046","3,406",885,"2,098",103,28.68,67.98,3.34
PBarangay 192,"14.5157, 121.0020","4,217","1,080","3,134",150,24.75,71.81,3.44
PBarangay 193,"14.5128, 121.0017","7,430","2,205","5,570",292,27.33,69.05,3.62
PBarangay 194,"14.5125, 121.0028","4,523","1,553","3,992",234,26.87,69.08,4.05
PBarangay 195,"14.5134, 121.0053","2,449",633,"1,516",97,28.18,67.5,4.32
PBarangay 196,"14.5108, 121.0040","1,499",383,"1,060",63,25.43,70.39,4.18
PBarangay 197,"14.5094, 121.0140","3,854","1,070","2,911",158,25.85,70.33,3.82
PBarangay 198,"14.5109, 121.0032","1,904",497,"1,279",70,26.92,69.28,3.79
PBarangay 199,"14.5092, 121.0010","2,044",557,"1,537",101,25.38,70.02,4.6
PBarangay 2,"14.5577, 120.9892","1,327",452,"1,057",53,28.94,67.67,3.39
PBarangay 20,"14.5555, 120.9923",623,162,854,32,15.46,81.49,3.05
PBarangay 200,"14.5080, 121.0006",594,146,387,25,26.16,69.35,4.48
PBarangay 201,"14.5085, 121.0312","19,788","5,943","15,592",630,26.81,70.35,2.84
PBarangay 21,"14.5548, 120.9932",790,290,906,69,22.92,71.62,5.45
PBarangay 22,"14.5559, 120.9937",714,219,546,36,27.34,68.16,4.49
PBarangay 23,"14.5539, 120.9932","1,419",388,"1,367",51,21.48,75.69,2.82
PBarangay 24,"14.5528, 120.9929",704,217,969,43,17.66,78.84,3.5
PBarangay 25,"14.5511, 120.9933",595,139,677,48,16.09,78.36,5.56
PBarangay 26,"14.5497, 120.9934",932,151,473,35,22.91,71.78,5.31
PBarangay 27,"14.5481, 120.9939",273,74,315,27,17.79,75.72,6.49
PBarangay 28,"14.5520, 120.9945","1,237",199,673,54,21.49,72.68,5.83
PBarangay 29,"14.5506, 120.9945","1,429",522,"1,447",62,25.7,71.25,3.05
PBarangay 3,"14.5570, 120.9895",824,236,655,15,26.05,72.3,1.66
PBarangay 30,"14.5495, 120.9948",964,211,534,28,27.3,69.08,3.62
PBarangay 31,"14.5485, 120.9951","3,544",338,"1,070",87,22.61,71.57,5.82
PBarangay 32,"14.5470, 120.9949","1,906",424,"1,512",108,20.74,73.97,5.28
PBarangay 33,"14.5594, 120.9945",983,181,647,27,21.17,75.67,3.16
PBarangay 34,"14.5579, 120.9942",939,451,"1,576",63,21.58,75.41,3.01
PBarangay 35,"14.5559, 120.9949",600,111,620,10,14.98,83.67,1.35
PBarangay 36,"14.5568, 120.9959","3,799",206,934,22,17.73,80.38,1.89
PBarangay 37,"14.5548, 120.9957","1,529",338,"1,071",48,23.2,73.51,3.29
PBarangay 38,"14.5523, 120.9963","1,967",506,"2,182",112,18.07,77.93,4
PBarangay 39,"14.5500, 120.9968","1,290",250,992,45,19.43,77.08,3.5
PBarangay 4,"14.5562, 120.9897","2,086",506,"1,323",59,26.8,70.07,3.13
PBarangay 40,"14.5483, 120.9972","2,311",428,"1,610",109,19.93,74.99,5.08
PBarangay 41,"14.5600, 120.9967","1,591",261,"1,382",63,15.3,81.01,3.69
PBarangay 42,"14.5604, 120.9979","1,826",389,"1,303",60,22.2,74.37,3.42
PBarangay 43,"14.5607, 120.9988","2,620",819,"1,938",114,28.53,67.5,3.97
PBarangay 44,"14.5578, 120.9972","1,417",264,900,71,21.38,72.87,5.75
PBarangay 45,"14.5583, 120.9985","1,672",180,"1,028",54,14.26,81.46,4.28
PBarangay 46,"14.5572, 120.9995","5,783","1,659","4,157",222,27.48,68.85,3.68
PBarangay 47,"14.5550, 120.9980","1,207",165,773,67,16.42,76.92,6.67
PBarangay 48,"14.5560, 120.9991",509,114,383,34,21.47,72.13,6.4
PBarangay 49,"14.5533, 120.9982",290,71,368,12,15.74,81.6,2.66
PBarangay 5,"14.5554, 120.9900","6,081",279,724,32,26.96,69.95,3.09
PBarangay 50,"14.5542, 120.9996",478,84,355,29,17.95,75.85,6.2
PBarangay 51,"14.5538, 121.0006","2,159",528,"1,459",91,25.41,70.21,4.38
PBarangay 52,"14.5529, 120.9994","2,392",638,"1,374",62,30.76,66.25,2.99
PBarangay 53,"14.5529, 120.9999",788,152,592,50,19.14,74.56,6.3
PBarangay 54,"14.5525, 121.0010","1,479",482,"1,011",67,30.9,64.81,4.29
PBarangay 55,"14.5514, 120.9989",832,136,570,55,17.87,74.9,7.23
PBarangay 56,"14.5515, 121.0004",855,202,645,44,22.67,72.39,4.94
PBarangay 57,"14.5517, 121.0018","1,361",304,863,42,25.14,71.38,3.47
PBarangay 58,"14.5503, 120.9992","1,382",417,"1,250",56,24.2,72.55,3.25
PBarangay 59,"14.5487, 120.9995","1,657",321,"1,238",82,19.56,75.44,5
PBarangay 6,"14.5549, 120.9902",463,124,462,19,20.5,76.36,3.14
PBarangay 60,"14.5494, 121.0010","1,425",363,"1,078",75,23.94,71.11,4.95
PBarangay 61,"14.5507, 121.0019","2,503",856,"1,984",122,28.9,66.98,4.12
PBarangay 62,"14.5512, 121.0030","1,228",324,901,69,25.04,69.63,5.33
PBarangay 63,"14.5500, 121.0020",679,157,516,29,22.36,73.5,4.13
PBarangay 64,"14.5494, 121.0022","1,582",432,"1,097",74,26.95,68.43,4.62
PBarangay 65,"14.5503, 121.0035","2,932",682,"2,079",122,23.66,72.11,4.23
PBarangay 66,"14.5487, 121.0029","2,797",706,"1,680",86,28.56,67.96,3.48
PBarangay 67,"14.5500, 121.0051","1,104",336,751,40,29.81,66.64,3.55
PBarangay 68,"14.5459, 120.9947",852,257,729,21,25.52,72.39,2.09
PBarangay 69,"14.5464, 120.9959","1,153",292,689,31,28.85,68.08,3.06
PBarangay 7,"14.5543, 120.9903","2,676",141,557,11,19.89,78.56,1.55
PBarangay 70,"14.5437, 120.9954","2,199",155,"1,390",43,9.76,87.53,2.71
PBarangay 71,"14.5453, 120.9964",685,152,482,25,23.07,73.14,3.79
PBarangay 72,"14.5435, 120.9969","1,423",314,"1,010",59,22.7,73.03,4.27
PBarangay 73,"14.5410, 120.9960",699,244,818,81,21.35,71.57,7.09
PBarangay 74,"14.5413, 120.9974",460,117,445,27,19.86,75.55,4.58
PBarangay 75,"14.5381, 120.9970","1,326",225,866,37,19.95,76.77,3.28
PBarangay 76,"14.5467, 120.9861","19,604",806,"3,872",224,16.44,78.99,4.57
PBarangay 77,"14.5361, 120.9973","1,107",253,928,57,20.44,74.96,4.6
PBarangay 78,"14.5343, 120.9974",494,28,65,7,28,65,7
PBarangay 79,"14.5360, 120.9991",677,202,396,24,32.48,63.67,3.86
PBarangay 8,"14.5535, 120.9907","1,160",205,808,15,19.94,78.6,1.46
PBarangay 80,"14.5380, 120.9990","1,208",175,505,33,24.54,70.83,4.63
PBarangay 81,"14.5401, 120.9987","2,129",525,"1,568",69,24.28,72.53,3.19
PBarangay 82,"14.5401, 120.9994",554,175,509,23,24.75,71.99,3.25
PBarangay 83,"14.5387, 121.0000",794,191,724,41,19.98,75.73,4.29
PBarangay 84,"14.5402, 121.0000",719,131,626,26,16.73,79.95,3.32
PBarangay 85,"14.5413, 120.9990","1,285",256,911,56,20.93,74.49,4.58
PBarangay 86,"14.5425, 120.9987","1,389",219,828,50,19.96,75.48,4.56
PBarangay 87,"14.5432, 120.9991",633,162,501,18,23.79,73.57,2.64
PBarangay 88,"14.5444, 120.9976",958,442,887,27,32.6,65.41,1.99
PBarangay 89,"14.5440, 120.9989","1,003",260,770,11,24.98,73.97,1.05
PBarangay 9,"14.5528, 120.9907",257,48,231,2,17.08,82.21,0.71
PBarangay 90,"14.5453, 120.9986","1,615",519,"1,278",59,27.96,68.86,3.18
PBarangay 91,"14.5462, 120.9978","1,881",538,"1,157",43,30.96,66.57,2.47
PBarangay 92,"14.5471, 120.9979",469,126,420,16,22.42,74.73,2.85
PBarangay 93,"14.5453, 120.9995",382,56,209,14,20.07,74.91,5.02
PBarangay 94,"14.5455, 121.0000","2,375",465,"1,273",63,25.82,70.68,3.5
PBarangay 95,"14.5468, 121.0004","1,132",247,859,41,21.53,74.89,3.57
PBarangay 96,"14.5445, 121.0009",826,228,844,49,20.34,75.29,4.37
PBarangay 97,"14.5404, 121.0009","1,361",251,842,30,22.35,74.98,2.67
PBarangay 98,"14.5390, 121.0023","1,487",221,922,56,18.43,76.9,4.67
PBarangay 99,"14.5405, 121.0023","1,111",310,981,43,23.24,73.54,3.22
